Project_ID,Organization,Short_project_description,Year_technical_go_live,Organisation_profile,Business_domain,Development_method,Primary_programming_language,Development_class,Functional_size_FP,Actual_duration_months,Actual_cost_EUR,Release_based_working,Once_only_project,Multi_application_release,Phased_project,Dependencies_with_other_applications,Single_application,Migration_project,Problems_with_external_supplier,Security_related_project,Package_of_the_shelf,Package_with_customization,Steady_heartbeat,Fixed_experienced_team,Many_team_changes_unexperienced_team,Legacy_application,Technology_driven_project,Rules_and_regulations_driven_project,Business_driven_project,Pilot_or_proof_of_concept
208.0,Bank A,Maintenance and new functionality project on an existing mortgages application; Mortgages Collections Policy,2011.0,Banking,Mortgages,Plan-driven,JAVA,Major Enhancement (25-75% new),238.0,12.78,642000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
209.0,Bank A,Maintenance and new functionality project on an existing internet application; part of a large customer migration program; Wave 2 Internet Banking - Open Environment,2010.0,Banking,Internet & Mobile,Plan-driven,JAVA,Major Enhancement (25-75% new),84.0,11.91,498000.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
218.0,Bank A,Maintenance release on an existing savings and loans application,2010.0,Banking,Savings & Loans,Plan-driven,JAVA,Major Enhancement (25-75% new),14.0,6.81,228690.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
223.0,Bank A,Maintenance and new functionality project on an existing customer information management application; part of a large customer migration program; W2 Customer Migration,2010.0,Banking,Client and Account Management,Plan-driven,JAVA,Major Enhancement (25-75% new),45.0,2.52,724470.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
242.0,Bank A,Maintenance and new functionality project on an existing client and accountmanagement application; part of a large customer migration program; Private Banking Customer Information Management Clinet Administration enhance Target,2011.0,Banking,Client and Account Management,Plan-driven,JAVA,Major Enhancement (25-75% new),315.0,11.27,695880.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
312.0,Beltel,Maintenance project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; Change of Ownership,2011.0,Telecommunications,Client and Account Management,Plan-driven,JAVA,Major Enhancement (25-75% new),17.0,13.74,113040.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
321.0,Beltel,"Maintenance and enhancements project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; fixed, experienced projectteam with members in Belgium and India; CRM: Quick Wins 1",2012.0,Telecommunications,Client and Account Management,Plan-driven,JAVA,Major Enhancement (25-75% new),81.0,10.4,210640.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40.0,Bank B,INBP CRM Phase 1,2009.0,Banking,Client and Account Management,Plan-driven,ORACLE,Major Enhancement (25-75% new),205.0,15.04,6802466.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,Bank B,BBI Phase 2a and 2b (migration),2009.0,Banking,Finance & Risk,Plan-driven,ORACLE,Major Enhancement (25-75% new),366.0,9.78,1861945.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158.0,Bank A,Maintenance and new functionality release on an existing savings and loans application,2008.0,Banking,Savings & Loans,Plan-driven,RPG,Major Enhancement (25-75% new),457.0,8.09,1363712.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,Bank A,Maintenance and new functionality release on an existing callcenter application; Auto2009-1,2009.0,Banking,Call Center Solutions,Plan-driven,RPG,Major Enhancement (25-75% new),73.0,3.35,176888.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96.0,Bank B,Maintenance and new functionality release on one application CRMi 2014,2010.0,Banking,Client and Account Management,Plan-driven,Siebel,Major Enhancement (25-75% new),189.0,5.89,266511.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,Bank A,Maintenance and new functionality release on an existing data warehouse & BI application; OneFar CIA,2008.0,Banking,Data Warehouse & BI,Plan-driven,SQL,Major Enhancement (25-75% new),425.0,12.62,469100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,Bank A,Maintenance and new functionality project on an existing mortgages application; H1S,2009.0,Banking,Mortgages,Plan-driven,3GL,Conversion (<5% new),254.0,8.44,1025700.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,Bank A,Maintenance and enhancement project on an existing mortgages application; Bank Savings Acoount Mortgage Short Term,2009.0,Banking,Mortgages,Plan-driven,3GL,Conversion (<5% new),374.0,10.1,1764156.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30.0,Bank B,New functionality and maintenance release on one application,2009.0,Banking,Organization,Plan-driven,COBOL,Conversion (<5% new),255.0,8.51,661289.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,Bank B,Bank Savings release 3,2010.0,Banking,Savings & Loans,Plan-driven,COBOL,Conversion (<5% new),294.0,16.53,2072744.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13.0,Bank B,CIV Product Image,2009.0,Banking,Client and Account Management,Plan-driven,JAVA,Conversion (<5% new),518.0,14.65,2007250.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,Bank B,Realisation Online Member Influence,2010.0,Banking,Client and Account Management,Plan-driven,JAVA,Conversion (<5% new),306.0,9.15,710177.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,Bank A,Maintenance and new functionality project on an existing mortgages application; AFM Checking; Rules & Regulations driven project,2011.0,Banking,Mortgages,Plan-driven,JAVA,Conversion (<5% new),168.0,19.26,1024000.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
297.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-01 (January),2012.0,Banking,Finance & Risk,Scrum,ORACLE,Conversion (<5% new),5.0,2.54,35540.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
295.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2011-11 (November),2011.0,Banking,Finance & Risk,Plan-driven,ORACLE,New Development,9.0,2.48,41370.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
301.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-05 (May),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,25.0,2.5,33900.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
304.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-08 (August),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,10.0,2.5,32770.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
303.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-07 (July),2012.0,Banking,Finance & Risk,Scrum,ORACLE,Major Enhancement (25-75% new),57.0,2.48,32430.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
302.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-06 (June),2012.0,Banking,Finance & Risk,Scrum,ORACLE,Conversion (<5% new),41.0,2.48,32850.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
300.0,Bank A,Maintenance and new functionality release on a finance & risk application; fixed and experienced team that releases monthly; steady heartbeat; release-based working mapped on one application; during 2011 / 2012 the delivery method changed from plan-driven to Scrum; APL-B Release 2012-04 (April),2012.0,Banking,Finance & Risk,Scrum,ORACLE,New Development,20.0,2.48,44020.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
